Magnitude,Place,Felt Report,Date,Link
5.21,"15km W of Petrolia, CA",1761,2020-03-19,https://maps.googleapis.com/maps/api/staticmap?center=40.3475&-124.4561667&size=400x400
4.58,"5km NE of Magna, Utah",3517,2020-03-19,https://maps.googleapis.com/maps/api/staticmap?center=40.751&-112.059&size=400x400
6.2,"246km S of Kangin, Indonesia",60,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=-11.0591&115.131&size=400x400
4.46,"7km NNE of Magna, Utah",1241,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=40.7651667&-112.0725&size=400x400
3.89,"7km NE of Magna, Utah",513,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=40.7555&-112.0501667&size=400x400
3.66,"3km NNE of Magna, Utah",663,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=40.7526667&-112.0938333&size=400x400
5.7,"6km NNE of Magna, Utah",33091,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=40.751&-112.0783333&size=400x400
5.5,"158km WSW of Lata, Solomon Islands",0,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=-11.0485&164.4228&size=400x400
6.1,"97km NNW of Sola, Vanuatu",0,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=-13.1372&167.068&size=400x400
5.4,"142km N of Tobelo, Indonesia",0,2020-03-18,https://maps.googleapis.com/maps/api/staticmap?center=3.0125&128.0877&size=400x400
6,"172km E of Hihifo, Tonga",9,2020-03-17,https://maps.googleapis.com/maps/api/staticmap?center=-15.9951&-172.1366&size=400x400
5.6,"53km NNW of Tome, Chile",141,2020-03-17,https://maps.googleapis.com/maps/api/staticmap?center=-36.162&-73.1593&size=400x400
6.3,"298km NE of Raoul Island, New Zealand",3,2020-03-14,https://maps.googleapis.com/maps/api/staticmap?center=-27.4196&-175.6847&size=400x400
5.3,"26km NNW of Nanao, Japan",30,2020-03-12,https://maps.googleapis.com/maps/api/staticmap?center=37.2698&136.8641&size=400x400
3.1,"0km SSW of South Glens Falls, New York",2620,2020-03-11,https://maps.googleapis.com/maps/api/staticmap?center=43.2925&-73.6371&size=400x400
3.71,"17km NNW of Truckee, CA",969,2020-03-11,https://maps.googleapis.com/maps/api/staticmap?center=39.4751667&-120.2455&size=400x400
5.5,"127km SW of Kuripan, Indonesia",2,2020-03-10,https://maps.googleapis.com/maps/api/staticmap?center=-5.8693&102.971&size=400x400
5.5,"209km NNW of Puerto Ayora, Ecuador",0,2020-03-10,https://maps.googleapis.com/maps/api/staticmap?center=1.0863&-90.8586&size=400x400
4.94,"73km W of Petrolia, CA",407,2020-03-09,https://maps.googleapis.com/maps/api/staticmap?center=40.3648333&-125.1431667&size=400x400
5.77,"69km W of Petrolia, CA",2832,2020-03-09,https://maps.googleapis.com/maps/api/staticmap?center=40.3916667&-125.0936667&size=400x400
5.2,"30km SSE of Canico, Portugal",161,2020-03-08,https://maps.googleapis.com/maps/api/staticmap?center=32.39&-16.6994&size=400x400
5.5,"53km WSW of Port-Vila, Vanuatu",3,2020-03-07,https://maps.googleapis.com/maps/api/staticmap?center=-17.9138&167.8542&size=400x400
5.49,"71km SE of Estacion Coahuila, B.C., MX",4798,2020-03-07,https://maps.googleapis.com/maps/api/staticmap?center=31.6893333&-114.5405&size=400x400
5.2,"23km ESE of Buenos Aires, Costa Rica",256,2020-03-07,https://maps.googleapis.com/maps/api/staticmap?center=9.0672&-83.1509&size=400x400
5.9,Southwest Indian Ridge,0,2020-03-06,https://maps.googleapis.com/maps/api/staticmap?center=-31.3513&58.3249&size=400x400
5.4,Southern Mid-Atlantic Ridge,0,2020-03-05,https://maps.googleapis.com/maps/api/staticmap?center=-48.8215&-8.8012&size=400x400
5.6,"168km ESE of Raoul Island, New Zealand",0,2020-03-05,https://maps.googleapis.com/maps/api/staticmap?center=-29.7716&-176.2651&size=400x400
5.5,"39km S of Tinogasta, Argentina",0,2020-03-05,https://maps.googleapis.com/maps/api/staticmap?center=-28.4144&-67.5044&size=400x400
5.7,"53km WSW of Amatignak Island, Alaska",1,2020-03-02,https://maps.googleapis.com/maps/api/staticmap?center=51.1334&-179.8506&size=400x400
5.3,"5km NNE of Culasian, Philippines",102,2020-03-02,https://maps.googleapis.com/maps/api/staticmap?center=11.3555&124.6294&size=400x400
5.7,"117km ESE of Neiafu, Tonga",0,2020-02-28,https://maps.googleapis.com/maps/api/staticmap?center=-18.9008&-172.9039&size=400x400
5.5,"179km S of Sarangani, Philippines",1,2020-02-28,https://maps.googleapis.com/maps/api/staticmap?center=3.8133&125.7785&size=400x400
5.9,"48km NNW of Saumlaki, Indonesia",28,2020-02-26,https://maps.googleapis.com/maps/api/staticmap?center=-7.5625&131.1195&size=400x400
6,"24km SE of Saray, Turkey",17,2020-02-23,https://maps.googleapis.com/maps/api/staticmap?center=38.4933&44.3729&size=400x400
5.8,"26km ESE of Saray, Turkey",15,2020-02-23,https://maps.googleapis.com/maps/api/staticmap?center=38.5429&44.4465&size=400x400
5.5,West Chile Rise,0,2020-02-23,https://maps.googleapis.com/maps/api/staticmap?center=-38.1463&-93.7502&size=400x400
5.5,"62km SSE of `Ohonua, Tonga",0,2020-02-23,https://maps.googleapis.com/maps/api/staticmap?center=-21.8268&-174.6527&size=400x400
3.52,"2km NNW of Castaic, CA",1610,2020-02-21,https://maps.googleapis.com/maps/api/staticmap?center=34.5075&-118.6345&size=400x400
5.4,"229km NW of Saumlaki, Indonesia",5,2020-02-21,https://maps.googleapis.com/maps/api/staticmap?center=-6.7432&129.6245&size=400x400
5.8,"153km ENE of Petropavlovsk-Kamchatskiy, Russia",3,2020-02-21,https://maps.googleapis.com/maps/api/staticmap?center=53.6978&160.6787&size=400x400
